FORPRINT: Thu Jun 26 15:44:31 2014
  1.01450e-08  1.40436e-09
  3.40492e-08  1.14549e-09
  4.00110e-08  5.70039e-09
  3.62837e-08  2.32653e-09
  3.06503e-08  1.57323e-09
  1.29334e-08  1.14006e-09
  1.40992e-08  9.39896e-10
  2.22270e-09  2.73994e-10
  1.39379e-08  2.72226e-10
  1.94697e-08  5.55861e-10
  9.14393e-09  4.77291e-10
  1.53161e-08  6.94008e-10
  4.13490e-10  3.37776e-10
      0.00000         -NaN
  2.65793e-09  1.26434e-10
  1.28208e-08  5.93982e-10
  1.09193e-09  1.21058e-10
  1.83773e-10  1.23756e-10
