FORPRINT: Thu Jun 26 15:46:15 2014
  3.93348e-09  1.03927e-09
  1.58024e-08  9.22936e-10
  2.03649e-08  5.02589e-09
  2.24154e-08  2.11044e-09
  1.61257e-08  1.38800e-09
  7.45939e-09  1.01295e-09
  1.15678e-08  8.20324e-10
  8.18837e-10  2.30291e-10
  8.67250e-09  2.64080e-10
  1.11889e-08  5.07792e-10
  3.46194e-09  4.01221e-10
  8.78012e-09  6.46637e-10
  4.19269e-10  3.19576e-10
      0.00000         -NaN
  1.75315e-09  1.23396e-10
  9.43880e-09  5.05677e-10
  1.14949e-09  1.52126e-10
  1.73787e-10  1.09480e-10
